Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
530.7103781700134,5.612,1.06,108.0,580.0
531.7143292427063,5.612,0.93,93.0,520.0
532.7216196060181,5.612,0.93,93.0,520.0
533.7260875701904,5.612,1.04,106.0,580.0
534.7324891090393,5.616,0.94,94.0,520.0
535.7397437095642,5.616,0.95,93.0,520.0
536.7439441680908,5.608,1.04,106.0,580.0
537.7506840229034,5.616,0.93,91.0,520.0
538.7552719116211,5.612,0.94,94.0,520.0
539.7622787952423,5.612,1.02,108.0,580.0
540.7692594528198,5.612,0.95,94.0,520.0
541.7734885215759,5.612,0.92,93.0,520.0
542.7801477909088,5.608,1.03,102.0,560.0
543.7849898338318,5.612,0.96,95.0,520.0
544.7915418148041,5.608,0.94,107.0,580.0
545.7962906360626,5.612,1.04,105.0,580.0
546.8035826683044,5.612,0.93,96.0,520.0
547.8102769851685,5.612,0.93,93.0,520.0
548.8150424957275,5.604,1.05,108.0,580.0
549.8209154605865,5.612,0.91,103.0,580.0
550.8260774612427,5.608,1.09,104.0,580.0
551.8324689865112,5.608,1.09,104.0,580.0
552.8401567935944,5.612,0.92,95.0,520.0
553.8444602489471,5.608,1.05,107.0,580.0
554.8515005111694,5.604,1.08,95.0,520.0
555.8558897972107,5.612,1.02,94.0,520.0
556.8626818656921,5.608,1.11,104.0,580.0
557.8693041801453,5.608,1.04,110.0,620.0
558.8743693828583,5.608,1.01,102.0,560.0
559.881010055542,5.608,1.09,104.0,580.0
560.8852436542511,5.612,0.94,94.0,520.0
561.8919615745544,5.612,0.94,91.0,520.0
562.896425485611,5.604,1.07,110.0,620.0
563.9036610126495,5.608,1.06,95.0,520.0
564.9105389118195,5.608,0.96,94.0,520.0
565.9139561653137,5.608,1.07,106.0,580.0
566.9211287498474,5.612,0.95,93.0,520.0
567.9253668785095,5.608,0.94,93.0,520.0
568.9331388473511,5.604,1.04,108.0,580.0
569.939858675003,5.608,0.95,93.0,520.0
570.9441149234772,5.612,0.95,93.0,520.0
571.9507353305817,5.608,1.05,103.0,580.0
572.9555435180664,5.608,0.94,94.0,520.0
